"Day","Bounce rate","Day (previous_period)","Bounce rate (previous_period)"
"2025-02-10",0.7741935483870968,"2025-01-10",
"2025-02-11",0.8636363636363636,"2025-01-11",
"2025-02-12",0.847457627118644,"2025-01-12",
"2025-02-13",0.7397260273972602,"2025-01-13",
"2025-02-14",0.8356164383561644,"2025-01-14",
"2025-02-15",0.8938053097345132,"2025-01-15",
"2025-02-16",0.7796610169491526,"2025-01-16",
"2025-02-17",0.6792452830188679,"2025-01-17",
"2025-02-18",0.8360655737704918,"2025-01-18",
"2025-02-19",0.8615384615384616,"2025-01-19",
"2025-02-20",0.8235294117647058,"2025-01-20",0.7349397590361446
"2025-02-21",0.7835051546391752,"2025-01-21",0.7441860465116279
"2025-02-22",0.7909090909090909,"2025-01-22",0.875
"2025-02-23",0.9093137254901961,"2025-01-23",1
"2025-02-24",0.925,"2025-01-24",1
"2025-02-25",0.9235880398671097,"2025-01-25",0.8181818181818182
"2025-02-26",0.8279569892473119,"2025-01-26",0.875
"2025-02-27",0.8045112781954887,"2025-01-27",0.7037037037037037
"2025-02-28",0.7640449438202247,"2025-01-28",0.7352941176470589
"2025-03-01",0.7391304347826086,"2025-01-29",0.8068181818181818
"2025-03-02",0.826530612244898,"2025-01-30",0.7419354838709677
"2025-03-03",0.74,"2025-01-31",0.76
"2025-03-04",0.9203539823008849,"2025-02-01",0.8024691358024691
"2025-03-05",0.9237057220708447,"2025-02-02",0.7307692307692307
"2025-03-06",0.85,"2025-02-03",0.7890625
"2025-03-07",0.88,"2025-02-04",0.8830645161290323
"2025-03-08",0.9270833333333334,"2025-02-05",0.905
"2025-03-09",0.8,"2025-02-06",0.75
"2025-03-10",0.851063829787234,"2025-02-07",0.7402597402597403
"2025-03-11",0.8571428571428571,"2025-02-08",0.7654320987654321
"2025-03-12",1,"2025-02-09",0.8717948717948718
