"Day","Orders","Quantity ordered per order","Average order value","Quantity returned","Day (previous_period)","Orders (previous_period)","Quantity ordered per order (previous_period)","Average order value (previous_period)","Quantity returned (previous_period)"
"2025-02-10",2,1,1350,0,"2025-01-10",0,,,0
"2025-02-11",2,1,1350,-1,"2025-01-11",0,,,0
"2025-02-12",1,1,1350,0,"2025-01-12",0,,,0
"2025-02-13",2,1,1350,0,"2025-01-13",0,,,0
"2025-02-14",0,,,0,"2025-01-14",0,,,0
"2025-02-15",0,,,0,"2025-01-15",0,,,0
"2025-02-16",0,,,0,"2025-01-16",0,,,0
"2025-02-17",2,1,1499,-4,"2025-01-17",0,,,0
"2025-02-18",0,,,0,"2025-01-18",0,,,0
"2025-02-19",1,1,999,0,"2025-01-19",0,,,0
"2025-02-20",1,1,999,0,"2025-01-20",1,1,1799,-1
"2025-02-21",2,1,1549,0,"2025-01-21",1,1,1799,0
"2025-02-22",2,1,1199,-1,"2025-01-22",0,,,0
"2025-02-23",2,1,1199,0,"2025-01-23",0,,,-1
"2025-02-24",3,1,1265.666,0,"2025-01-24",0,,,0
"2025-02-25",1,1,1399,-1,"2025-01-25",0,,,0
"2025-02-26",1,1,999,-2,"2025-01-26",0,,,0
"2025-02-27",3,1,1299,0,"2025-01-27",2,1,1799,-2
"2025-02-28",0,,,-1,"2025-01-28",2,1,1749,-1
"2025-03-01",2,1,1399,0,"2025-01-29",1,1,1650,-2
"2025-03-02",3,1,1365.666,-1,"2025-01-30",0,,,0
"2025-03-03",3,1,1132.333,-1,"2025-01-31",2,1,1299,0
"2025-03-04",7,1,1327.714,-2,"2025-02-01",0,,,0
"2025-03-05",1,1,999,-2,"2025-02-02",0,,,0
"2025-03-06",1,1,999,0,"2025-02-03",1,1,1800,0
"2025-03-07",3,1,1132.333,0,"2025-02-04",1,1,1550,-1
"2025-03-08",6,1,1199,-2,"2025-02-05",0,,,0
"2025-03-09",1,1,1599,0,"2025-02-06",2,1,1450,-1
"2025-03-10",1,1,999,-1,"2025-02-07",1,1,1350,0
"2025-03-11",0,,,-2,"2025-02-08",5,1,1620,-1
"2025-03-12",0,,,0,"2025-02-09",1,1,1350,0
