Day,Orders,Gross sales,Discounts,Returns,Net sales,Shipping charges,Duties,Additional fees,Taxes,Total sales,Day (previous_period),Orders (previous_period),Gross sales (previous_period),Discounts (previous_period),Returns (previous_period),Net sales (previous_period),Shipping charges (previous_period),Duties (previous_period),Additional fees (previous_period),Taxes (previous_period),Total sales (previous_period)
2/10/2025,2,2700,0,0,2700,0,0,0,0,2700,1/10/2025,0,0,0,0,0,0,0,0,0,0
2/11/2025,2,2700,0,-1350,1350,0,0,0,0,1350,1/11/2025,0,0,0,0,0,0,0,0,0,0
2/12/2025,1,1350,0,0,1350,0,0,0,0,1350,1/12/2025,0,0,0,0,0,0,0,0,0,0
2/13/2025,2,2700,0,0,2700,0,0,0,0,2700,1/13/2025,0,0,0,0,0,0,0,0,0,0
2/14/2025,0,0,0,0,0,0,0,0,0,0,1/14/2025,0,0,0,0,0,0,0,0,0,0
2/15/2025,0,0,0,0,0,0,0,0,0,0,1/15/2025,0,0,0,0,0,0,0,0,0,0
2/16/2025,0,0,0,0,0,0,0,0,0,0,1/16/2025,0,0,0,0,0,0,0,0,0,0
2/17/2025,2,2998,0,-6449,-3451,0,0,0,0,-3201,1/17/2025,0,0,0,0,0,0,0,0,0,0
2/18/2025,0,0,0,0,0,0,0,0,0,0,1/18/2025,0,0,0,0,0,0,0,0,0,0
2/19/2025,1,999,0,0,999,0,0,0,0,999,1/19/2025,0,0,0,0,0,0,0,0,0,0
2/20/2025,1,999,0,0,999,0,0,0,0,999,1/20/2025,1,1799,0,-1799,0,0,0,0,0,0
2/21/2025,2,3098,0,0,3098,0,0,0,0,3098,1/21/2025,1,1799,0,0,1799,0,0,0,0,1799
2/22/2025,2,2398,0,-1399,999,0,0,0,0,999,1/22/2025,0,0,0,0,0,0,0,0,0,0
2/23/2025,2,2398,0,0,2398,0,0,0,0,2398,1/23/2025,0,0,0,-1799,-1799,0,0,0,0,-1799
2/24/2025,3,3797,0,0,3797,0,0,0,0,3797,1/24/2025,0,0,0,0,0,0,0,0,0,0
2/25/2025,1,1399,0,-999,400,0,0,0,0,400,1/25/2025,0,0,0,0,0,0,0,0,0,0
2/26/2025,1,999,0,-1998,-999,0,0,0,0,-999,1/26/2025,0,0,0,0,0,0,0,0,0,0
2/27/2025,3,3897,0,0,3897,0,0,0,0,3897,1/27/2025,2,3598,0,-3598,0,0,0,0,0,0
2/28/2025,0,0,0,-1399,-1399,0,0,0,0,-1399,1/28/2025,2,3498,0,-1799,1699,0,0,0,0,1699
3/1/2025,2,2798,0,0,2798,0,0,0,0,2798,1/29/2025,1,1650,0,-3349,-1699,0,0,0,0,-1699
3/2/2025,3,5796,0,-1699,4097,0,0,0,0,4097,1/30/2025,0,0,0,0,0,0,0,0,0,0
3/3/2025,3,3397,0,-1399,1998,0,0,0,0,1998,1/31/2025,2,2598,0,0,2598,99,0,0,0,2697
3/4/2025,7,10293,0,-2398,7895,0,0,0,0,7895,2/1/2025,0,0,0,0,0,0,0,0,0,0
3/5/2025,1,999,0,-2398,-1399,0,0,0,0,-1399,2/2/2025,0,0,0,0,0,0,0,0,0,0
3/6/2025,1,999,0,0,999,0,0,0,0,999,2/3/2025,1,1800,0,0,1800,0,0,0,0,1800
3/7/2025,3,3397,0,0,3397,0,0,0,0,3397,2/4/2025,1,1550,0,-1800,-250,0,0,0,0,-250
3/8/2025,6,7194,0,-2898,4296,0,0,0,0,4296,2/5/2025,0,0,0,0,0,0,0,0,0,0
3/9/2025,1,1599,0,0,1599,0,0,0,0,1599,2/6/2025,2,2900,0,-1350,1550,0,0,0,0,1550
3/10/2025,1,999,0,-1399,-400,0,0,0,0,-400,2/7/2025,1,1350,0,0,1350,0,0,0,0,1350
3/11/2025,0,0,0,-2398,-2398,0,0,0,0,-2398,2/8/2025,5,8100,0,-1350,6750,0,0,0,0,6750
3/12/2025,0,0,0,0,0,0,0,0,0,0,2/9/2025,1,1350,0,0,1350,0,0,0,0,1350
